       290149377 function calls (285317559 primitive calls) in 474.401 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      442    0.007    0.000    0.113    0.000 __init__.py:86(replace)
        2    0.000    0.000    0.000    0.000 __init__.py:867(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:868(setFormatter)
     1144    0.042    0.000  232.777    0.203 __init__.py:87(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:877(__getitem__)
      216    0.000    0.000    0.001    0.000 __init__.py:88(__init__)
   433041    0.521    0.000    0.615    0.000 __init__.py:91(_replace_charref)
1763/1705    0.010    0.000    8.182    0.005 __init__.py:92(fetch)
       20    0.000    0.000    0.001    0.000 __init__.py:92(update_settings)
     6383    0.005    0.000    0.006    0.000 __init__.py:93(__getitem__)
     1762    0.004    0.000    0.006    0.000 __init__.py:93(_deactivate)
       21    0.000    0.000    0.000    0.000 __init__.py:958(__init__)
     7605    0.020    0.000    0.049    0.000 __init__.py:969(flush)
     9838    0.003    0.000    0.003    0.000 __init__.py:98(__contains__)
     7605    0.027    0.000    0.650    0.000 __init__.py:980(emit)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
       42    0.000    0.000    0.000    0.000 _buffer.py:47(__call__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
       79    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       23    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
      523    0.000    0.000    0.001    0.000 _collections_abc.py:676(items)
      523    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
     5490    0.005    0.000    0.017    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
     1717    0.003    0.000    0.008    0.000 _common.py:109(_is_ip_address)
     1459    0.007    0.000    0.018    0.000 _common.py:145(__init__)
      258    0.002    0.000    0.008    0.000 _common.py:236(__init__)
     4456    0.002    0.000    0.003    0.000 _common.py:247(<genexpr>)
     1459    0.001    0.000    0.004    0.000 _common.py:261(verify)
      258    0.001    0.000    0.007    0.000 _common.py:35(verify_service_identity)
     1459    0.002    0.000    0.002    0.000 _common.py:351(_hostname_matches)
      302    0.001    0.000    0.003    0.000 _common.py:373(_validate_pattern)
     1288    0.000    0.000    0.001    0.000 _common.py:401(<genexpr>)
      258    0.000    0.000    0.000    0.000 _common.py:47(<listcomp>)
      516    0.002    0.000    0.006    0.000 _common.py:69(_find_matches)
        2    0.000    0.000    0.000    0.000 _compat.py:36(_normalize_name)
    31749    0.023    0.000    0.038    0.000 _compression.py:12(_check_not_closed)
     1214    0.000    0.000    0.000    0.000 _compression.py:150(tell)
     1214    0.000    0.000    0.000    0.000 _compression.py:36(readable)
     1214    0.007    0.000    0.013    0.000 _compression.py:39(__init__)
     1214    0.021    0.000    0.024    0.000 _compression.py:59(close)
    31749    0.141    0.000    1.860    0.000 _compression.py:66(readinto)
        2    0.000    0.000    0.000    0.000 _constants.py:120(_realize)
        1    0.000    0.000    0.000    0.000 _constants.py:142(__new__)
        2    0.000    0.000    0.000    0.000 _constants.py:226(_constantFactory)
        2    0.000    0.000    0.000    0.000 _constants.py:35(__init__)
        1    0.000    0.000    0.000    0.000 _convenience.py:14(Quit)
       12    0.000    0.000    0.000    0.000 _convenience.py:22(__init__)
       10    0.000    0.000    0.000    0.000 _convenience.py:29(set)
     1789    0.001    0.000    0.001    0.000 _convenience.py:39(check)
        1    0.000    0.000    0.000    0.000 _convenience.py:7(<module>)
       42    0.000    0.000    0.000    0.000 _filter.py:105(<lambda>)
       42    0.000    0.000    0.001    0.000 _filter.py:125(__call__)
       42    0.000    0.000    0.000    0.000 _filter.py:157(logLevelForNamespace)
       42    0.000    0.000    0.000    0.000 _filter.py:218(__call__)
       42    0.000    0.000    0.001    0.000 _filter.py:59(shouldLogEvent)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:103(TokenList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:170(WhiteSpaceTokenList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:181(UnstructuredTokenList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:186(Phrase)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:190(Word)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:195(CFWSList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:200(Atom)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:205(Token)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:211(EncodedWord)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:219(QuotedString)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:246(BareQuotedString)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:258(Comment)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:284(AddressList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:303(Address)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:328(MailboxList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:342(GroupList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:359(Group)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:380(NameAddr)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:407(AngleAddr)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:438(ObsRoute)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:447(Mailbox)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:474(InvalidMailbox)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:485(Domain)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:495(DotAtom)
